2023-04-23 01:55:51 {'arbitration_id': '0x1a18502', 'data': 'AA09', 'priority': '0', 'dgn_h': '1A1', 'dgn_l': '85', 'dgn': '1A185', 'source_id': '02', 'name': 'UNKNOWN-1A185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1718502', 'data': 'AA09', 'priority': '0', 'dgn_h': '171', 'dgn_l': '85', 'dgn': '17185', 'source_id': '02', 'name': 'UNKNOWN-17185'}
2023-04-23 01:55:51 {'arbitration_id': '0xb18502', 'data': 'AA09', 'priority': '0', 'dgn_h': '0B1', 'dgn_l': '85', 'dgn': '0B185', 'source_id': '02', 'name': 'UNKNOWN-0B185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1018502', 'data': 'AA09', 'priority': '0', 'dgn_h': '101', 'dgn_l': '85', 'dgn': '10185', 'source_id': '02', 'name': 'UNKNOWN-10185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1f58502', 'data': 'AA09', 'priority': '0', 'dgn_h': '1F5', 'dgn_l': '85', 'dgn': '1F585', 'source_id': '02', 'name': 'UNKNOWN-1F585'}
2023-04-23 01:55:51 {'arbitration_id': '0x3258502', 'data': 'AA09', 'priority': '0', 'dgn_h': '125', 'dgn_l': '85', 'dgn': '12585', 'source_id': '02', 'name': 'UNKNOWN-12585'}
2023-04-23 01:55:51 {'arbitration_id': '0x2858502', 'data': 'AA09', 'priority': '0', 'dgn_h': '085', 'dgn_l': '85', 'dgn': '08585', 'source_id': '02', 'name': 'UNKNOWN-08585'}
2023-04-23 01:55:51 {'arbitration_id': '0xc58502', 'data': 'AA09', 'priority': '0', 'dgn_h': '0C5', 'dgn_l': '85', 'dgn': '0C585', 'source_id': '02', 'name': 'UNKNOWN-0C585'}
2023-04-23 01:55:51 {'arbitration_id': '0x2146842', 'data': '0004', 'priority': '0', 'dgn_h': '014', 'dgn_l': '68', 'dgn': '01468', 'source_id': '42', 'name': 'UNKNOWN-01468'}
2023-04-23 01:55:51 {'arbitration_id': '0x3418502', 'data': 'AA09', 'priority': '0', 'dgn_h': '141', 'dgn_l': '85', 'dgn': '14185', 'source_id': '02', 'name': 'UNKNOWN-14185'}
